"response_var","impulse_var","horizon","percentage","dataset","model_name"
"inflation","inflation",6,0.880297786316418,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate",6,0.106532332780328,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth",7,0.0130572709924808,"macro_panel_USA","VAR2_macro_USA"
"inflation","inflation",7,0.87885119932739,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate",7,0.108091529680129,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth",8,0.0130486621725998,"macro_panel_USA","VAR2_macro_USA"
"inflation","inflation",8,0.878823826226106,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate",8,0.108127511601294,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth",9,0.0130956791191872,"macro_panel_USA","VAR2_macro_USA"
"inflation","inflation",9,0.878971712466103,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate",9,0.10793260841471,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth",10,0.0131462654701416,"macro_panel_USA","VAR2_macro_USA"
"inflation","inflation",10,0.878969710068729,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate",10,0.10788402446113,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth",1,1.03442219070722e-05,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","inflation",1,0.000290622212517159,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","interest_rate",1,0.999699033565576,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth",2,0.000132870397726788,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","inflation",2,0.105763722158109,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","interest_rate",2,0.894103407444165,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth",3,0.000158679834804766,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","inflation",3,0.19461173177677,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","interest_rate",3,0.805229588388425,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth",4,0.000919211605292559,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","inflation",4,0.243623885995044,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","interest_rate",4,0.755456902399664,"macro_panel_USA","VAR2_macro_USA"
"interest_rate","gdp_growth",5,0.00195566541216163,"macro_panel_USA","VAR2_macro_USA"
